                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98771,                 2.6917,                  1.512,                0.00333,                0.16667,                0.04264,                0.01082,                 1.1067,                  6.851,                 1.1553,                      0,                      0,                      0
                      2,                 1.0736,                 2.7181,                 1.5302,                0.00417,                0.83333,                0.06947,                0.01714,                 1.0858,                 6.9113,                 1.1363,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 1.2182,                 2.8204,                  1.709,                0.00333,                0.66667,                0.07684,                0.01951,                 1.0435,                  6.872,                 1.0932,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 1.0499,                 2.6285,                 1.5502,                0.00333,                0.66667,                0.10098,                0.03148,                0.95886,                   6.82,                 1.0523,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                0.86956,                 2.5248,                  1.463,                0.00333,                0.66667,                0.28584,                0.06691,                0.85705,                 6.7571,                0.99461,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                0.73118,                 2.4828,                 1.3504,                0.00333,                0.66667,                0.29985,                0.08256,                0.86206,                  6.651,                 0.9756,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                0.74904,                 2.5873,                 1.3331,                0.00333,                0.66667,                0.31723,                0.16321,                0.86332,                 6.6305,                 0.9623,             0.00011287,             0.00011287,             0.00011287
                      8,                0.69829,                 2.3003,                 1.2814,                0.00333,                0.66667,                0.46595,                0.31617,                0.81658,                 6.6209,                0.92386,              0.0001303,              0.0001303,              0.0001303
                      9,                0.68407,                 2.2568,                 1.2349,                0.00333,                0.66667,                0.47223,                0.33044,                0.80857,                 6.5881,                0.93418,             0.00014733,             0.00014733,             0.00014733
                     10,                0.60535,                 2.1135,                 1.2803,                0.00333,                0.66667,                0.52413,                0.38084,                0.86259,                 6.5575,                0.97212,             0.00016396,             0.00016396,             0.00016396
                     11,                0.55115,                 1.9508,                 1.1946,                0.00333,                0.66667,                 0.5287,                0.38553,                0.89907,                 6.4376,                0.98387,              0.0001802,              0.0001802,              0.0001802
